InstanceID,MaritalStatus,ApplicationMode,Course,DaytimeEveningAttendance,ApplicationOrder,PreviousQualification,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,PreviousQualificationGrade,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,International,AgeAtEnrollment,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Class
Student_00031,1,44,9003,1,1,39,1,4,5,4,2,150.0,150.0,0,0,0,1,1,0,0,21,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,1
Student_00032,1,51,9070,1,1,1,1,42,3,125,124,125.0,130.0,1,0,0,1,1,0,0,20,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,2
Student_00033,1,1,9147,1,1,1,1,1,1,4,6,143.0,138.8,0,0,0,0,1,0,0,18,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,1
Student_00034,1,18,8014,0,1,1,1,19,1,9,5,138.0,134.5,1,0,0,1,0,0,0,19,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,2
Student_00035,1,1,9991,0,1,1,1,2,37,3,9,130.0,131.4,0,0,0,1,1,0,0,34,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,2
Student_00036,1,39,33,1,1,1,1,38,37,9,6,130.0,102.5,0,0,1,0,1,0,0,37,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,0
Student_00037,1,39,9119,1,1,10,1,34,37,0,0,133.1,128.8,1,0,0,1,1,0,0,43,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,0
Student_00038,1,43,9147,1,1,1,1,37,37,6,6,140.0,122.9,0,0,0,1,0,0,0,55,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,0
Student_00039,4,39,9991,0,1,1,1,19,19,9,3,120.0,113.9,1,0,0,1,0,0,0,39,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,2
Student_00040,1,44,9130,1,1,39,6,4,4,3,6,120.0,120.0,0,0,1,0,0,0,1,20,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,0
Student_00041,1,1,9773,1,5,1,1,3,3,2,2,126.0,121.1,0,0,1,1,0,0,0,18,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0
Student_00042,1,1,9147,1,2,1,1,3,19,2,7,133.0,120.4,1,0,0,1,0,0,0,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,2
Student_00043,1,1,9500,1,6,1,1,1,3,2,2,103.0,100.6,1,1,0,1,0,0,0,22,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,2
Student_00044,1,17,9773,1,1,1,1,1,38,5,5,120.0,121.4,0,0,0,0,0,0,0,20,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,0
Student_00045,1,39,9991,0,1,1,1,37,37,9,9,133.1,109.7,0,0,0,1,0,0,0,29,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,0
Student_00046,1,17,9991,0,1,1,1,38,38,4,5,154.0,NA,0,0,0,1,0,0,0,24,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,1
Student_00047,1,17,9238,1,2,1,1,19,19,9,9,130.0,127.6,1,0,0,1,0,0,0,18,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,2
Student_00048,1,17,9500,1,6,1,1,37,19,7,7,132.0,132.4,1,0,0,1,0,1,0,22,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,2
Student_00049,1,44,8014,0,1,39,1,1,19,9,9,130.0,133.4,0,0,0,1,0,1,0,NA,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,2
Student_00050,1,1,9238,1,1,1,1,37,38,9,9,139.0,126.1,0,0,0,1,0,1,0,19,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,2
Student_00051,1,39,9254,1,1,1,1,19,38,9,7,130.0,113.5,0,0,0,1,0,1,0,24,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,2
Student_00052,1,1,9500,1,1,1,1,37,38,6,6,139.0,121.3,1,0,0,1,0,1,0,19,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,1
Student_00053,1,1,9773,1,1,1,1,1,19,7,7,127.0,121.8,1,0,0,1,0,1,0,20,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,1
Student_00054,NA,1,9130,1,3,1,1,37,37,90,90,167.0,159.3,0,0,0,1,0,0,0,19,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,2
Student_00055,1,39,9991,0,1,1,1,38,38,9,9,130.0,120.0,0,0,0,1,0,0,0,27,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,0
Student_00056,1,1,9500,1,1,1,1,1,19,5,5,130.0,129.1,1,0,0,1,0,0,0,18,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,2
Student_00057,2,7,9254,1,1,3,1,1,3,4,3,130.0,130.0,0,0,0,1,0,0,0,39,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,0
Student_00058,1,39,9130,1,1,40,1,3,3,2,2,129.0,155.3,1,0,0,1,0,0,0,27,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,0
Student_00059,1,17,9500,1,1,NA,1,38,38,7,10,141.0,139.8,1,0,0,1,0,0,0,18,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,2
Student_00060,1,1,171,1,3,1,1,38,37,4,9,125.0,115.2,1,0,0,1,0,0,0,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,1
Student_00061,1,1,9500,1,2,1,1,19,19,9,9,125.0,114.9,0,0,0,1,0,0,0,18,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,2
Student_00062,1,44,9238,1,1,39,1,19,1,9,9,130.0,131.9,0,0,0,1,0,1,0,21,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,2
Student_00063,1,17,171,1,3,1,1,1,37,4,7,133.0,126.0,1,0,0,1,1,1,0,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,1
Student_00064,1,17,9070,1,1,1,1,1,1,3,4,127.0,130.2,1,0,0,1,1,0,0,19,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,1
Student_00065,1,43,9070,1,1,1,1,1,1,3,NA,116.0,120.9,0,0,0,1,1,0,0,24,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,1
Student_00066,4,42,9500,1,1,19,1,1,1,5,5,133.1,126.0,1,0,0,1,1,0,0,29,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,0
Student_00067,1,1,171,1,3,1,1,19,19,5,3,139.0,128.2,1,0,0,1,1,1,0,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,2
Student_00068,1,44,9003,1,1,39,1,19,37,9,9,130.0,130.0,1,0,0,1,1,0,0,23,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,2
Student_00069,1,1,9147,1,3,1,1,1,38,7,7,125.0,120.1,0,0,1,1,1,0,0,19,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,0
Student_00070,1,39,9254,1,1,1,1,19,37,7,10,160.0,100.0,0,0,0,1,1,0,0,26,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,1
Student_00071,1,17,9147,1,1,1,1,38,37,5,5,148.0,134.0,0,0,0,1,1,0,0,18,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,1
Student_00072,1,17,9500,1,1,1,1,37,19,8,4,150.0,130.8,0,0,0,1,1,0,0,24,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,2
Student_00073,1,1,171,1,1,1,1,19,19,5,10,141.0,135.8,1,0,0,1,1,0,0,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,0
Student_00074,1,17,9254,1,4,1,1,38,37,5,7,118.0,111.7,1,0,0,1,1,0,0,18,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,0
Student_00075,1,1,9773,1,2,1,1,38,38,9,9,142.0,132.9,1,0,0,1,1,0,0,18,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,2
Student_00076,1,17,9147,1,3,1,1,19,19,4,7,120.0,115.5,1,0,1,1,1,0,0,18,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,0
Student_00077,1,18,9254,1,4,1,1,19,37,7,NA,106.0,106.0,1,0,0,1,1,1,0,21,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,0
Student_00078,1,17,9773,1,4,1,1,1,19,9,8,121.0,120.3,1,0,1,1,1,1,0,19,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,2
Student_00079,1,17,9500,1,4,1,1,38,37,9,9,150.0,130.8,0,0,0,1,1,1,0,22,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,2
Student_00080,2,39,8014,0,1,1,1,37,37,9,6,120.0,117.0,0,0,0,NA,1,0,0,33,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,2
Student_00081,1,1,9853,1,6,1,1,19,19,9,9,114.0,110.2,1,0,0,1,1,0,0,20,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,0
Student_00082,1,39,9991,0,1,2,1,3,3,2,2,140.0,155.7,1,0,0,1,1,0,0,35,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,0
Student_00083,1,39,9003,1,1,4,1,3,3,4,2,160.0,180.4,0,0,1,1,1,0,0,24,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,0
Student_00084,1,17,9254,1,1,1,1,19,19,4,4,120.0,125.5,0,0,0,1,1,0,0,18,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,NA,3.7,-1.7,1
Student_00085,2,39,8014,0,1,1,1,37,37,9,6,130.0,110.0,1,0,0,1,0,0,0,33,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,2
Student_00086,1,42,9500,1,1,1,1,37,38,9,7,160.0,161.0,1,0,0,1,0,1,0,22,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,2
Student_00087,1,39,9670,1,1,1,1,1,19,4,5,120.0,100.0,0,0,0,1,0,1,0,25,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,2
Student_00088,1,17,9070,1,1,1,1,19,38,4,0,124.0,117.6,1,0,0,1,1,0,0,20,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,2
Student_00089,1,1,9147,1,6,1,1,38,37,9,9,143.0,128.7,1,0,0,1,1,0,0,23,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,1
Student_00090,1,43,9119,1,2,1,1,38,19,9,6,115.0,112.2,1,0,1,1,1,0,0,18,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,1
Student_00091,1,39,9500,1,1,1,1,1,1,4,10,133.1,100.8,0,0,0,1,1,0,0,24,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,0
Student_00092,1,17,9773,1,2,1,41,19,1,9,9,133.1,105.0,1,0,0,0,0,0,1,21,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,2
Student_00093,1,15,9130,1,1,1,41,1,1,4,4,133.1,100.0,0,0,0,1,0,0,1,26,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,0
Student_00094,2,39,9853,1,1,10,1,37,34,0,0,133.1,115.5,0,0,0,1,0,0,0,39,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,0
Student_00095,2,39,NA,0,1,1,1,37,19,9,9,133.1,114.0,0,0,0,1,0,0,0,44,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,2
Student_00096,1,15,9119,1,1,1,26,38,3,9,2,130.0,137.0,1,0,0,1,1,0,1,19,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,1
Student_00097,1,1,9773,1,5,1,1,37,1,5,5,135.0,124.9,1,0,0,1,0,0,0,18,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,2
Student_00098,1,1,9500,1,5,1,1,37,37,7,7,132.0,120.3,1,0,0,1,0,1,0,18,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,2
Student_00099,1,1,9085,1,1,1,1,1,2,9,1,135.0,134.3,1,0,0,1,0,0,0,19,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,1
Student_00100,1,1,9500,1,4,1,1,3,3,2,2,115.0,111.5,1,0,1,0,0,0,0,19,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,0
Student_00101,1,53,9085,1,1,42,1,38,38,9,9,130.0,128.8,0,0,0,1,0,0,0,21,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,NA,0
Student_00102,1,1,171,1,4,1,1,1,1,9,10,133.1,110.0,1,0,0,1,0,0,0,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,2
Student_00103,2,39,8014,0,1,1,1,37,37,6,5,130.0,113.5,1,0,0,1,0,0,0,36,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,0
Student_00104,4,39,9003,1,1,12,1,37,37,9,6,133.1,160.0,0,0,0,1,0,0,0,43,13,18,19,18,14.63157894736842,0,10,13,14,13,NA,1,15.5,2.8,-4.06,2
Student_00105,1,18,9853,1,1,1,1,19,19,9,7,123.0,117.4,1,0,0,1,0,0,0,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,0
Student_00106,1,51,9070,1,1,1,1,3,1,2,8,130.0,122.2,0,0,1,1,0,0,0,20,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,11.1,0.6,2.02,2
Student_00107,1,1,9238,1,2,1,1,37,38,4,7,122.0,118.2,1,0,0,1,0,0,0,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,0
Student_00108,1,1,9085,1,1,1,1,1,1,4,4,113.0,106.7,1,0,0,1,0,0,0,20,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,0
Student_00109,1,1,9500,1,5,1,1,3,4,4,3,111.0,108.2,1,0,0,1,0,0,0,20,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,0
Student_00110,1,17,9853,1,2,1,1,19,1,9,3,133.1,107.0,1,0,0,1,0,0,0,20,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,1
Student_00111,1,1,9238,1,1,1,1,37,37,6,7,142.0,136.1,1,0,0,1,0,0,0,18,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,2
Student_00112,1,17,9147,1,2,1,1,1,38,4,7,123.0,115.3,1,0,0,1,0,1,0,18,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,1
Student_00113,1,1,9085,1,1,1,1,19,19,9,9,131.0,139.8,1,0,0,1,0,0,0,19,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,2
Student_00114,1,1,9773,1,3,1,1,1,38,4,7,158.0,157.0,1,0,0,1,0,0,0,18,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,2
Student_00115,1,17,9500,1,2,1,1,37,37,9,9,122.0,131.0,1,0,0,1,0,0,0,18,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,0
Student_00116,1,43,9500,1,1,1,1,38,38,9,5,130.0,100.0,0,0,0,1,0,0,0,20,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0,13.9,-0.3,NA,1
Student_00117,1,17,9238,1,1,1,1,19,37,9,7,154.0,140.4,1,0,0,1,0,1,0,20,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,1
Student_00118,1,17,9147,1,1,1,1,19,19,3,3,120.0,113.4,0,0,0,1,0,0,0,20,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0,12.4,0.5,1.79,1
Student_00119,1,1,9085,1,2,1,1,37,38,9,7,140.0,137.0,0,0,0,1,0,0,0,18,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,2
Student_00120,1,1,9147,1,1,1,1,2,19,4,5,127.0,121.8,0,0,0,1,0,0,0,18,0,5,5,5,12.6,0,0,5,5,5,14.0,0,11.1,0.6,2.02,2
Student_00121,1,17,9254,1,1,1,NA,1,1,4,5,133.1,131.0,1,0,0,1,0,0,0,21,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,0
Student_00122,1,1,9147,1,2,1,1,19,19,9,7,120.0,118.6,1,0,0,1,0,0,0,19,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,2
Student_00123,1,1,171,1,1,1,1,3,19,2,9,137.0,122.3,0,0,0,1,0,0,0,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
Student_00124,1,1,9670,1,1,1,1,38,38,9,9,131.0,127.9,0,0,0,1,0,1,0,19,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,2
Student_00125,1,1,9085,1,1,1,1,19,38,4,7,130.0,121.3,1,0,0,1,0,0,0,19,0,6,15,6,14.166666666666666,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,2
Student_00126,1,17,9556,1,6,1,1,1,1,4,5,122.0,117.1,1,0,0,1,0,0,0,19,0,7,12,5,12.1,0,0,7,0,0,0.0,0,13.9,-0.3,0.79,0
Student_00127,1,44,9085,1,1,39,1,37,37,9,9,160.0,160.0,1,0,0,1,0,0,0,20,1,6,7,6,14.166666666666666,0,1,6,17,5,13.77777777777778,0,12.4,0.5,1.79,2
Student_00128,1,1,9853,1,1,1,1,19,38,9,3,146.0,145.3,1,0,0,1,0,1,0,18,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,1
Student_00129,1,17,9238,1,3,1,1,1,39,5,3,131.0,122.6,1,0,0,1,0,0,0,18,0,6,7,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,2
Student_00130,1,17,9500,1,6,1,1,1,37,8,9,132.0,128.0,1,0,0,1,0,0,0,19,0,7,7,7,13.467142857142855,0,0,8,9,8,15.011111111111113,0,12.4,0.5,1.79,2
Student_00131,1,1,9500,1,3,1,1,19,19,5,8,138.0,124.9,1,0,0,1,0,1,0,18,0,7,9,7,13.2375,0,0,8,9,7,13.742857142857144,0,13.9,-0.3,0.79,0
Student_00132,1,17,9070,1,2,1,1,37,37,9,9,130.0,123.7,1,0,0,1,0,0,0,18,0,6,6,6,12.333333333333334,0,0,6,6,6,13.0,0,7.6,2.6,0.32,2
Student_00133,1,1,9147,1,4,1,1,1,19,4,8,126.0,120.1,1,0,0,1,0,0,0,19,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,2
Student_00134,1,17,9500,1,6,1,1,1,19,3,3,148.0,131.7,1,0,0,1,0,0,0,19,0,7,8,5,14.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,0
